Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1605830400,2020-11-20,XRPUSD,0.3044,0.3054,0.297,0.3005,28708429.06,8675901.67
1605744000,2020-11-19,XRPUSD,0.2937,0.307,0.2841,0.3044,115573592.2,34206679.84
1605657600,2020-11-18,XRPUSD,0.3026,0.3085,0.2817,0.2937,138502426.7,40662719.42
1605571200,2020-11-17,XRPUSD,0.288,0.3053,0.2878,0.3026,119030252.1,35535528.53
1605484800,2020-11-16,XRPUSD,0.2697,0.29,0.2676,0.288,82567515.19,23107271.59
1605398400,2020-11-15,XRPUSD,0.2684,0.277,0.2643,0.2697,52642956.09,14292147.26
1605312000,2020-11-14,XRPUSD,0.266,0.2775,0.2614,0.2684,89982721.99,24182477.32
1605225600,2020-11-13,XRPUSD,0.2551,0.266,0.2539,0.266,72178671.86,18763922.06
1605139200,2020-11-12,XRPUSD,0.256,0.2584,0.2525,0.2551,65428546.27,16698900.65
1605052800,2020-11-11,XRPUSD,0.2542,0.2602,0.2526,0.256,63246186.37,16252266.22
1604966400,2020-11-10,XRPUSD,0.2505,0.2647,0.2483,0.2542,81635348.64,20941259.99
1604880000,2020-11-09,XRPUSD,0.2538,0.2562,0.2457,0.2505,68029918.64,17047463.7
1604793600,2020-11-08,XRPUSD,0.2492,0.2571,0.2477,0.2538,32216316.29,8158692.63
1604707200,2020-11-07,XRPUSD,0.2589,0.2677,0.2447,0.2492,66165970.28,17033947.12
1604620800,2020-11-06,XRPUSD,0.2457,0.2617,0.2454,0.2589,95068199.16,24223589.78
1604534400,2020-11-05,XRPUSD,0.2378,0.2475,0.2277,0.2457,94714729.49,22822899.07
1604448000,2020-11-04,XRPUSD,0.2398,0.2407,0.2323,0.2378,63314738,14990322.93
1604361600,2020-11-03,XRPUSD,0.2354,0.244,0.228,0.2398,78086440.19,18451132.61
1604275200,2020-11-02,XRPUSD,0.24,0.245,0.2331,0.2354,54429497.47,12916756.26
1604188800,2020-11-01,XRPUSD,0.2398,0.2415,0.2368,0.24,18583116.42,4449790.94
1604102400,2020-10-31,XRPUSD,0.2393,0.2438,0.2377,0.2398,35916811.63,8630942.15
1604016000,2020-10-30,XRPUSD,0.2424,0.2475,0.231,0.2393,87250595.82,20760974.31
1603929600,2020-10-29,XRPUSD,0.2456,0.2473,0.2397,0.2424,66330254.15,16198195.93
1603843200,2020-10-28,XRPUSD,0.2527,0.2568,0.2444,0.2456,64455435.51,16054025.09
1603756800,2020-10-27,XRPUSD,0.2483,0.2542,0.2477,0.2527,58430432.67,14673013.56
1603670400,2020-10-26,XRPUSD,0.2532,0.2593,0.2436,0.2483,51933165.27,13063640.19
1603584000,2020-10-25,XRPUSD,0.2563,0.2573,0.2514,0.2532,21039055.17,5335379.95
1603497600,2020-10-24,XRPUSD,0.255,0.2579,0.2528,0.2563,22457840.14,5729970.77
1603411200,2020-10-23,XRPUSD,0.2574,0.2595,0.2503,0.255,50456113.11,12905036.48
1603324800,2020-10-22,XRPUSD,0.2512,0.264,0.2512,0.2574,77433930.17,20058518.4
1603238400,2020-10-21,XRPUSD,0.2434,0.256,0.2428,0.2512,79677062.53,19949001.06
1603152000,2020-10-20,XRPUSD,0.2457,0.2503,0.2414,0.2434,49225880.4,12062700.66
1603065600,2020-10-19,XRPUSD,0.2424,0.2495,0.2395,0.2457,48137222.1,11824646.09
1602979200,2020-10-18,XRPUSD,0.2406,0.2438,0.2402,0.2424,18001668.28,4358255.41
1602892800,2020-10-17,XRPUSD,0.2401,0.2431,0.2389,0.2406,22356843.64,5392433.27
1602806400,2020-10-16,XRPUSD,0.2461,0.2479,0.2378,0.2401,51710735.63,12497727.8
1602720000,2020-10-15,XRPUSD,0.2492,0.2502,0.2431,0.2461,53375713.49,13179964.62
1602633600,2020-10-14,XRPUSD,0.2566,0.2585,0.246,0.2492,55943137.72,14103242.27
1602547200,2020-10-13,XRPUSD,0.2562,0.26,0.2527,0.2566,53451982.53,13708359.45
1602460800,2020-10-12,XRPUSD,0.2553,0.2584,0.249,0.2562,35791151.68,9133288.75
1602374400,2020-10-11,XRPUSD,0.2543,0.2582,0.2534,0.2553,16635995.22,4253852.66
1602288000,2020-10-10,XRPUSD,0.2532,0.26,0.253,0.2543,33242289.11,8534382.18
1602201600,2020-10-09,XRPUSD,0.2513,0.2567,0.2495,0.2532,49139836.79,12386051.78
1602115200,2020-10-08,XRPUSD,0.2488,0.253,0.2421,0.2513,50214750.86,12440448.84
1602028800,2020-10-07,XRPUSD,0.2456,0.2513,0.2406,0.2488,56677184.95,13985588.51
1601942400,2020-10-06,XRPUSD,0.2503,0.2592,0.2403,0.2456,93458331.19,23470357.99
1601856000,2020-10-05,XRPUSD,0.2478,0.2542,0.2464,0.2503,57400926.75,14351848.31
1601769600,2020-10-04,XRPUSD,0.2327,0.25,0.2316,0.2478,46008228.83,11124725.67
1601683200,2020-10-03,XRPUSD,0.2341,0.235,0.2327,0.2327,15779332.97,3687359.89
1601596800,2020-10-02,XRPUSD,0.2381,0.2395,0.2286,0.2341,56443624.56,13158586.83
1601510400,2020-10-01,XRPUSD,0.2418,0.2445,0.2335,0.2381,51386353.99,12340629.27
1601424000,2020-09-30,XRPUSD,0.2427,0.2427,0.2374,0.2418,40637061.14,9768105.8
1601337600,2020-09-29,XRPUSD,0.241,0.2467,0.2384,0.2427,42791870.15,10375472.72
